Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
147.535000,146.59500,s,103.5,103.5,WC4RAV,"Marietta",Cobb,Georgia,FM P-25 ,293
146.880000,146.28000,-,100.0,100.0,W4BTI,"Austell",Cobb,Georgia,FM ,
145.420000,144.72000,-,127.3,127.3,W4KST,"Kennesaw - KSU",Cobb,Georgia,FM AllStar ,
146.955000,146.35500,-,77.0,77.0,WX4PCA,"Dallas - Water Dept",Paulding,Georgia,FM EchoLink ,
145.490000,144.89000,-,107.2,107.2,KK4OIO,"Marietta",Cobb,Georgia,FM EchoLink ,
145.470000,144.87000,-,100.0,100.0,NF4GA,"Sandy Springs",Fulton,Georgia,FM EchoLink ,
147.345000,147.94500,+,151.4,151.4,N4NQV,"Marietta - Sweat Mtn",Cobb,Georgia,FM ,
146.970000,146.37000,-,100.0,,K4CLJ,"Atlanta",Fulton,Georgia,FM ,
147.105000,147.70500,+,110.9,110.9,WB4RTH,"Atlanta",Fulton,Georgia,FM ,
145.150000,144.55000,-,167.9,167.9,W4AQL,"Atlanta - Georgia Tech",Fulton,Georgia,FM ,
146.655000,146.05500,-,151.4,151.4,W4KIP,"Marietta - Sweat Mtn",Cobb,Georgia,FM AllStar ,
146.820000,146.22000,-,146.2,146.2,W4DOC,"Atlanta - Bank of America Plaza",Fulton,Georgia,FM EchoLink ,
147.030000,147.63000,+,100.0,100.0,WA4GBT,"Atlanta",Fulton,Georgia,FM Fusion ,
147.180000,147.78000,+,127.3,,WR4VR,"Villa Rica",Carroll,Georgia,FM ,
147.240000,147.84000,+,103.5,,W4EBW,"Cartersville - Pine Mtn",Bartow,Georgia,FM ,
146.895000,147.49500,+,77.0,77.0,WD4LUQ,"Dallas - Roses Store",Paulding,Georgia,FM EchoLink ,
147.060000,147.66000,+,100.0,100.0,NF4GA,"Roswell",Fulton,Georgia,FM EchoLink ,
145.190000,147.45000,s,173.8,107.2,WX4AUX,"Waleska - Pine Log",Cherokee,Georgia,FM ,
145.450000,144.85000,-,107.2,107.2,W4BOC,"Decatur - Exchange Park",Dekalb,Georgia,FM ,
145.180000,144.58000,-,77.0,77.0,KC5RNJ,"Carrollton",Carroll,Georgia,FM DSTAR EchoLink ,
146.760000,146.16000,-,107.2,107.2,W4BOC,"Stone Mountain",Dekalb,Georgia,FM EchoLink ,
145.270000,144.67000,-,100.0,100.0,KG4VUB,"Waleska - Pine Log Mtn",Cherokee,Georgia,FM ,
147.015000,147.61500,+,100.0,100.0,WD4AUX,"Waleska - Pine Log Mtn",Cherokee,Georgia,FM ,
146.640000,146.04000,-,131.8,,W4FWD,"Carrollton",Carroll,Georgia,FM ,
145.210000,144.61000,-,131.8,,KK4GQ,"Fayetteville",Fayette,Georgia,FM AllStar EchoLink ,
146.685000,146.08500,-,131.8,,KK4GQ,"Fayetteville - Fayette Emergency Ops Ctr",Fayette,Georgia,FM ,
147.165000,147.76500,+,131.8,,K4NRC,"Newnan - Whitlock Fields",Coweta,Georgia,FM ,
147.075000,147.67500,+,82.5,82.5,W4GR,"Snellville - Lanier Mtn",Gwinnett,Georgia,FM EchoLink ,
147.255000,147.85500,+,107.2,,W4GR,"Snellville",Gwinnett,Georgia,FM ,
145.170000,144.57000,-,146.2,,KJ4KPY,"Stockbridge - Piedmont Henry Hosp",Henry,Georgia,FM AllStar EchoLink ,
147.150000,147.75000,+,141.3,141.3,WB4GQX,"Cumming - Sawnee Mtn",Forsyth,Georgia,FM ,
146.685000,146.08500,-,167.9,CSQ,W7TJT,"Fairmount",Gordon,Georgia,FM ,
145.130000,144.53000,-,156.7,,K4NRC,"Newnan",Coweta,Georgia,FM EchoLink ,
147.120000,147.72000,+,,,W4CMA,"Cedartown",Polk,Georgia,FM ,
147.210000,147.81000,+,162.2,162.2,KF4GHF,"Conyers - Salem Road/I-20",Rockdale,Georgia,FM ,
146.715000,146.11500,-,146.2,146.2,KI4FVI,"McDonough - Union Grove High School",Henry,Georgia,FM AllStar EchoLink P-25 ,293
145.110000,144.51000,-,88.5,,K4NRC,"Turin",Coweta,Georgia,FM ,
147.300000,147.90000,+,100.0,,N4EBY,"Rome",Floyd,Georgia,FM ,
146.700000,146.10000,-,123.0,123.0,K4SJR,"Jasper",Pickens,Georgia,FM ,
145.330000,144.73000,-,103.5,,KD4YDD,"Dacula",Gwinnett,Georgia,FM ,
146.940000,146.34000,-,88.5,88.5,W4VO,"Rome - Mt Alto",Floyd,Georgia,FM EchoLink ,
147.390000,147.99000,+,100.0,100.0,N4RMG,"Rome - Mt Alto",Floyd,Georgia,FM Fusion ,
147.195000,147.79500,+,77.0,77.0,N3DAB,"Jasper - Little Hendricks Mtn",Pickens,Georgia,FM ,
146.805000,147.40500,+,100.0,100.0,KC4AQS,"Jasper - Mt Oglethorpe",Pickens,Georgia,FM ,
147.360000,147.96000,+,88.5,,K4NRC,"Moreland - Luthersville",Coweta,Georgia,FM ,
146.745000,146.14500,-,100.0,,K4WOC,"Calhoun",Gordon,Georgia,FM ,
145.430000,144.83000,-,123.0,,K4SJR,"Jasper - Biskey Mtn",Pickens,Georgia,FM ,
147.270000,147.87000,+,88.5,88.5,WC4RG,"Between",Walton,Georgia,FM P-25 ,270
146.925000,146.32500,-,88.5,88.5,WA4ASI,"Covington - Newton County Forestry Fire Tower",Newton,Georgia,FM AllStar DMR DSTAR EchoLink NXDN P-25 Fusion ,2
146.910000,146.31000,-,88.5,,K4HYB,"Griffin",Spalding,Georgia,FM ,
145.480000,144.88000,-,,,W4AMI,"Griffin - Spalding Hospital",Spalding,Georgia,FM DSTAR ,
